,시도별(1),시점,아동학대 의심사례,latitude,longtitude
7,서울,2021,6137,37.538621,126.992652
11,부산,2021,3035,35.229459,129.124985
15,대구,2021,2013,35.855227,128.661413
19,인천,2021,3720,37.662311,126.796354
23,광주,2021,1038,35.191453,126.974922
27,대전,2021,1637,36.386379,127.511742
31,세종,2021,259,36.571728,127.309748
35,울산,2021,3114,35.586029,129.386485
39,경기,2021,13578,37.484108,127.522423
43,강원,2021,1508,37.915648,128.161036
47,충북,2021,1565,37.070866,127.956560
51,충남,2021,2793,36.803435,127.015740
55,전북,2021,2540,35.803922,127.414181
59,전남,2021,2481,34.954678,127.197548
63,경북,2021,2702,35.837855,129.173126
67,경남,2021,2848,35.670216,128.261690
71,제주,2021,1115,33.458114,126.849783
