"사건처리 결과별(1)",사건처리 결과별(2),사건처리 결과별(3),2018,2019,2020,2021
"계",소계,소계,7988,10998,11209,16096
"경찰수사",소계,소계,3038,4143,4329,6344
"경찰수사",수사중,소계,2475,3459,3775,5152
"경찰수사",내사종결,소계,379,490,349,343
"경찰수사",각하,소계,-,-,2,67
"경찰수사",파악불가,소계,184,194,203,782
"검찰수사",소계,소계,1807,2786,2628,3223
"검찰수사",수사중,소계,856,1077,867,1146
"검찰수사",불기소,소계,521,962,778,908
"검찰수사",아동보호송치사건,소계,277,561,803,944
"검찰수사",가정보호송치사건,소계,51,74,86,51
"검찰수사",형사기소,소계,21,48,50,80
"검찰수사",파악불가,소계,81,64,44,94
"재판진행중",소계,소계,737,1006,804,883
"재판진행중",1심 진행,소계,348,663,509,696
"재판진행중",항소심 진행,소계,71,42,45,40
"재판진행중",상고심 진행,소계,30,3,5,9
"재판진행중",파악불가,소계,288,298,245,138
"판결",소계,소계,1705,2326,2600,2962
"판결",보호처분,소계,1081,1410,1635,1874
"판결",보호처분,감호위탁,-,1,-,1
"판결",보호처분,감호위탁상담위탁,-,-,1,-
"판결",보호처분,보호관찰,66,99,128,156
"판결",보호처분,보호관찰+상담위탁,124,112,153,144
"판결",보호처분,보호관찰+치료위탁,12,12,20,11
"판결",보호처분,보호관찰+치료위탁+상담위탁,6,6,14,2
"판결",보호처분,사회봉사·수강명령,195,266,217,255
"판결",보호처분,사회봉사·수강명령+보호관찰,51,64,55,74
"판결",보호처분,사회봉사·수강명령+보호관찰+상담위탁,12,8,5,13
"판결",보호처분,사회봉사·수강명령+보호관찰+치료위탁,4,2,1,1
"판결",보호처분,사회봉사·수강명령+보호관찰+치료위탁+상담위탁,1,2,-,-
"판결",보호처분,사회봉사·수강명령+상담위탁,14,24,23,20
"판결",보호처분,상담위탁,503,730,891,1034
"판결",보호처분,접근행위제한,3,4,11,7
"판결",보호처분,접근행위제한+치료위탁,-,-,-,1
"판결",보호처분,접근행위제한+친권행사제한,-,-,-,1
"판결",보호처분,접근행위제한+보호관찰,4,3,-,4
"판결",보호처분,접근행위제한+보호관찰+상담위탁,-,-,-,6
"판결",보호처분,접근행위제한+보호관찰+치료위탁,-,-,3,-
"판결",보호처분,접근행위제한+사회봉사.수강명령,-,1,-,1
"판결",보호처분,접근행위제한+사회봉사.수강명령상담위탁,-,-,-,2
"판결",보호처분,접근행위제한+보호관찰+치료위탁+상담위탁,1,-,-,1
"판결",보호처분,접근행위제한+사회봉사·수강명령+보호관찰,7,2,1,-
"판결",보호처분,접근행위제한+사회봉사·수강명령+보호관찰+상담위탁,2,-,-,-
"판결",보호처분,접근행위제한+상담위탁,5,4,11,7
"판결",보호처분,접근행위제한+전기통신이용 접근행위제한,8,10,12,26
"판결",보호처분,접근행위제한+전기통신이용 접근행위제한+감호위탁+치료위탁,-,-,1,-
"판결",보호처분,접근행위제한+전기통신이용 접근행위제한+보호관찰,1,1,2,4
"판결",보호처분,접근행위제한+전기통신이용 접근행위제한+보호관찰+상담위탁,8,-,1,-
"판결",보호처분,접근행위제한+전기통신이용 접근행위제한+보호관찰+치료위탁,1,-,-,1
"판결",보호처분,접근행위제한+전기통신이용접근행위제한+사회봉사·수강명령,3,2,1,3
"판결",보호처분,접근행위제한+전기통신이용접근행위제한+사회봉사·수강명령+보호관찰,2,1,1,3
"판결",보호처분,접근행위제한+전기통신이용접근행위제한+사회봉사·수강명령+보호관찰+상담위탁,1,-,1,-
"판결",보호처분,접근행위제한+전기통신이용 접근행위제한+사회봉사·수강명령+보호관찰+ 치료위탁+상담위탁,3,-,-,-
"판결",보호처분,접근행위제한+전기통신이용 접근행위제한+ 상담위탁,7,2,1,4
"판결",보호처분,접근행위제한+전기통신이용 접근행위제한+ 치료위탁+상담위탁,1,-,-,1
"판결",보호처분,접근행위제한+전기통신이용 접근행위제한+ 친권행사제한+보호관찰+치료위탁,2,-,-,-
"판결",보호처분,접근행위제한+전기통신이용 접근행위제한+ 친권행사제한,-,-,-,1
"판결",보호처분,접근행위제한+친권행사제한+보호관찰+치료위탁,1,-,-,-
"판결",보호처분,접근행위제한+친권행사제한+상담위탁,-,-,1,-
"판결",보호처분,치료위탁,3,10,11,18
"판결",보호처분,친권행사제한,-,1,1,1
"판결",보호처분,친권행사제한+보호관찰,-,-,-,1
"판결",보호처분,친권행사제한+보호관찰+치료위탁	,-,1,-,-
"판결",보호처분,친권행사제한+보호관찰+상담위탁,-,-,1,-
"판결",보호처분,치료위탁+상담위탁,3,6,12,6
"판결",보호처분,친권행사제한+보호관찰+치료위탁+상담위탁,1,-,-,-
"판결",보호처분,파악불가,26,36,55,64
"판결",형사처벌,소계,266,361,276,316
"판결",형사처벌,구류,1,-,-,-
"판결",형사처벌,집행유예,-,-,-,1
"판결",형사처벌,과료,-,-,-,1
"판결",형사처벌,벌금,55,90,40,57
"판결",형사처벌,벌금+아동학대치료프로그램이수+취업제한	,-,2,1,12
"판결",형사처벌,벌금+취업제한,-,1,1,1
"판결",형사처벌,벌금+아동학대치료프로그램이수,2,11,12,5
"판결",형사처벌,벌금+집행유예,1,-,2,-
"판결",형사처벌,벌금+집행유예+보호관찰,-,-,1,-
"판결",형사처벌,벌금+집행유예+사회봉사+보호관찰,1,-,-,-
"판결",형사처벌,벌금+집행유예+수강명령,3,-,-,-
"판결",형사처벌,선고유예,-,3,1,1
"판결",형사처벌,징역,68,54,41,23
"판결",형사처벌,징역+아동학대치료프로그램이수,20,-,-,-
"판결",형사처벌,징역+집행유예,50,38,31,29
"판결",형사처벌,징역+집행유예+보호관찰,4,6,8,-
"판결",형사처벌,징역+집행유예+사회봉사,1,-,1,-
"판결",형사처벌,징역+집행유예+수강명령,35,-,17,-
"판결",형사처벌,징역+집행유예+수강명령+보호관찰,6,-,6,-
"판결",형사처벌,징역+집행유예+수강명령+사회봉사,18,9,8,2
"판결",형사처벌,징역+집행유예+수강명령+사회봉사+보호관찰,1,1,2,1
"판결",형사처벌,징역+집행유예+수강명령+사회봉사+보호관찰+취업제한,-,2,4,2
"판결",형사처벌,징역+집행유예+수강명령+사회봉사+취업제한,-,28,3,27
"판결",형사처벌,징역+집행유예+수강명령+취업제한,-,25,23,8
"판결",형사처벌,징역+집행유예+수강명령+아동학대치료프로그램이수+보호관찰+취업제한,-,-,-,1
"판결",형사처벌,징역+집행유예+아동학대치료프로그램이수,-,1,-,1
"판결",형사처벌,징역+집행유예+아동학대치료프로그램이수+취업제한,-,-,4,2
"판결",형사처벌,징역+집행유예+아동학대치료프로그램이수+보호관찰+취업제한,-,-,-,1
"판결",형사처벌,징역+집행유예+취업제한,-,6,3,15
"판결",형사처벌,징역+취업제한,-,20,19,9
"판결",형사처벌,징역+집행유예+보호관찰+취업제한,-,1,8,1
"판결",형사처벌,징역+집행유예+사회봉사,-,1,-,1
"판결",형사처벌,징역+집행유예+사회봉사+보호관찰,-,2,-,-
"판결",형사처벌,징역+집행유예+사회봉사+보호관찰+취업제한,-,1,-,-
"판결",형사처벌,징역+집행유예+사회봉사+취업제한,-,1,-,5
"판결",형사처벌,징역+집행유예+수강명령,-,26,-,7
"판결",형사처벌,징역+집행유예+수강명령+보호관찰,-,2,-,1
"판결",형사처벌,징역+집행유예+수강명령+보호관찰+취업제한,-,4,-,-
"판결",형사처벌,징역+몰수,-,1,-,-
"판결",형사처벌,징역+몰수+집행유예+사회봉사+취업제한,-,-,1,-
"판결",형사처벌,징역+몰수+아동학대치료프로그램이수+취업제한,-,1,-,-
"판결",형사처벌,징역+몰수+집행유예+수강명령,-,1,-,1
"판결",형사처벌,징역+몰수+집행유예+수강명령+사회봉사,-,-,-,1
"판결",형사처벌,징역+몰수+취업제한,-,2,-,1
"판결",형사처벌,징역+벌금+집행유예,-,1,-,-
"판결",형사처벌,징역+벌금+집행유예+수강명령+취업제한,-,-,1,-
"판결",형사처벌,징역+벌금+집행유예+아동학대치료프로그램이수,-,-,-,1
"판결",형사처벌,징역+아동학대치료프로그램이수,-,7,5,8
"판결",형사처벌,징역+아동학대치료프로그램이수+취업제한,-,13,29,82
"판결",형사처벌,취업제한,-,-,-,8
"판결",형사처벌,파악불가,-,-,4,-
"판결",공소기각,소계,12,16,21,9
"판결",무죄,소계,6,13,9,17
"판결",불처분,소계,273,487,617,671
"판결",파악불가,소계,67,39,42,75
"전체 파악불가",소계,소계,701,737,848,2684
"전체 파악불가",수사진행했으나 결과값 없음,소계,162,73,92,349
"전체 파악불가",수사미진행·처벌법조치 완료,소계,539,664,756,2335
