"행정구역(시군구)별",2018,2019,2020,2021
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"전국",51826059,51849861,51829023,51638809
"서울특별시",9765623,9729107,9668465,9509458
"부산광역시",3441453,3413841,3391946,3350380
"대구광역시",2461769,2438031,2418346,2385412
"인천광역시",2954642,2957026,2942828,2948375
"광주광역시",1459336,1456468,1450062,1441611
"대전광역시",1489936,1474870,1463882,1452251
"울산광역시",1155623,1148019,1136017,1121592
"세종특별자치시",314126,340575,355831,371895
"경기도",13077153,13239666,13427014,13565450
"강원특별자치도",1543052,1541502,1542840,1538492
"충청북도",1599252,1600007,1600837,1597427
"충청남도",2126282,2123709,2121029,2119257
"전라북도",1836832,1818917,1804104,1786855
"전라남도",1882970,1868745,1851549,1832803
"경상북도",2676831,2665836,2639422,2626609
"경상남도",3373988,3362553,3340216,3314183
"제주특별자치도",667191,670989,674635,676759
